CompACT,HStile,HSGPA,ActionDate,ApplDate,BDt,TotalSAT,Gender,Ethnicity,AcadPlan,zipdisk
18,1,3.095,450,117,11220,960,F,Hispanic,DPSYC-BA,8.039662853
22,54,3.46,450,120,11217,1100,M,African American,DGNBU-BBA,16.59289334
19,0,0,212,212,11002,1080,F,White,DBIOL-BS,22.60129595
0,59,3.31,450,120,11172,920,F,African American,DMATH-BA,6.070851259
0,87,3.32,275,225,11138,1060,F,Hispanic,DCRJS-BS,16.59289334
16,63,3.296,450,79,11135,920,M,African American,DCRJS-BS,8.039662853
0,0,0,75,75,10449,980,F,Hispanic,DPBHLTH-BA,144.1134979
18,0,0,95,95,10725,970,F,African American,DCRJS-BS,322.7645853
21,0,0,184,184,11103,1150,F,Asian,DPBHLTH-BA,34.0603439
13,90,3.566,450,149,11124,0,F,Hispanic,DCOMM-BA,23.61407614
13,0,0,128,128,11278,0,F,Hispanic,DGNBU-BBA,34.1995828
15,0,0,137,137,10892,0,M,White,DBUND,589.9822288
14,0,0,113,113,10937,860,F,Hispanic,DINDE-BS,34.1995828
0,0,0,409,184,11075,1280,F,White,DPSYC-BA,390.8981076
0,0,0,192,192,11031,1270,F,White,DHPMGT-BBA,34.90196198
16,52,3.1,450,120,10995,860,M,Hispanic,DCOMM-BA,23.61407614
19,92,3.43,268,268,10879,1040,M,Hispanic,DGNBU-BBA,23.61407614
19,90,3.6,450,241,10878,1030,F,Hispanic,DPSYC-BA,23.61407614
15,78,3.4,450,81,11118,740,F,Hispanic,DCDFS-BS,18.90449676
17,71,3.633,450,135,11204,920,F,Hispanic,DGNBU-BBA,6.070851259
20,83,3.69,396,143,11148,0,F,Hispanic,DBIOL-BS,34.1995828
21,27,3.272,450,127,10960,1090,F,Hispanic,DPSYC-BA,10.94098691
18,60,3.096,450,169,11213,1170,F,Hispanic,DBIOL-BA,44.72764867
0,0,0,117,117,10673,830,F,Hispanic,DPBHLTH-BA,341.908158
19,8,3.32,396,59,10930,1110,M,Hispanic,DCSIT-BA,5.009297949
21,0,0,219,121,11230,1120,M,White,DUNDECIDED,278.0540223
22,0,0,141,141,11230,1080,M,White,DFINA-BBA,44.17320894
17,0,0,291,291,11122,920,F,Hispanic,DBIOL-BS,26.75111795
0,0,0,165,165,11234,1150,F,African American,DPOLS-BA,360.8981834
0,0,0,130,130,11063,1130,F,Hispanic,DBIOL-BS,339.7947295
0,0,0,88,88,11084,990,M,African American,DPSYC-BA,338.3957415
0,0,0,149,149,10634,850,F,African American,DACCT-BBA,30.00311309
17,0,0,306,95,11149,920,M,Hispanic,DBIOL-BS,29.7106165
18,45,3.82,292,220,11186,0,F,African American,DCDFS-BS,28.97696974
19,0,2.98,450,220,11309,0,M,Hispanic,DBIOL-BS,16.3561459
14,0,0,372,372,11123,860,F,African American,DACCT-BBA,27.25999507
14,0,0,373,295,11123,860,F,African American,DBIOL-BS,27.25999507
18,0,0,450,142,11035,0,F,Hispanic,DPSYC-BA,10.95784155
17,0,0,397,347,11172,0,F,Hispanic,DGNBU-BBA,23.61407614
15,0,0,190,190,11305,0,F,Asian,DCOMM-BA,46.55514846
25,89,3.39,450,110,11012,1230,M,Hispanic,DACCT-BBA,29.7106165
18,0,0,450,59,11292,990,F,Hispanic,DACCT-BBA,27.25999507
18,76,3.19,303,295,11069,1080,F,Hispanic,DFINA-BBA,30.81095615
23,0,0,121,121,11245,0,M,Hispanic,DGNBU-BBA,29.46979202
18,0,2.46,288,243,11097,0,M,Hispanic,DCOMM-BA,13.7111687
16,0,2.72,275,138,11081,0,F,Hispanic,DBUND,26.39824019
16,51,3.49,396,201,11305,980,M,Hispanic,DBUND,27.25999507
22,0,0,141,141,10691,1390,M,African American,DUNDECIDED,28.97696974
19,72,3.36,319,254,11165,1020,F,Hispanic,DUNDECIDED,13.52570037
25,67,3.22,450,67,10995,0,F,White,DHPMGT-BBA,18.72099996
20,0,0,201,201,10978,0,F,African American,DBUND,128.7293195
14,0,0,88,88,11091,0,F,African American,DHSML-BS,132.6087401
21,0,0,395,218,11036,0,M,Hawaiian/Pac Islnd,DINDE-BS,261.3151557
17,0,0,152,152,11065,0,F,Hispanic,DPSYC-BA,28.97696974
19,0,0,53,53,10976,0,F,African American,DPSYC-BA,132.0082617
17,87,0,148,148,10919,940,F,Asian,DBIOL-BS,27.25999507
18,0,0,71,71,11214,0,M,Hispanic,DUNDECIDED,22.95013916
17,0,2.07,368,171,10625,0,F,Asian,DSOCI-BA,26.75111795
19,0,0,130,130,10958,0,M,Hispanic,DACCT-BBA,247.9810355
17,67,3.676,275,92,11042,1040,F,Hispanic,DGNBU-BBA,30.00625461
17,0,2.97,261,261,10972,0,M,Hispanic,DGNBU-BBA,5.009297949
18,38,3.34,450,305,11411,0,M,Asian,DCSIT-BA,27.25999507
21,0,3.41,450,157,11284,0,F,Hispanic,DBUND,22.49820842
15,0,3.13,450,228,10678,0,F,Hispanic,DCOMM-BA,24.76618552
17,0,2.16,450,165,11185,0,F,Hispanic,DCDFS-BS,30.32475368
16,0,2.11,450,164,10732,0,M,Hispanic,DUNDECIDED,22.49820842
19,0,2.66,450,232,10975,0,F,Hispanic,DUNDECIDED,46.82956653
18,74,3.11,450,164,10948,0,M,Hispanic,DBIOL-BA,22.49820842
21,0,3.28,220,220,11027,0,F,Hispanic,DBUND,22.49820842
18,0,3.06,450,302,11162,0,F,Hispanic,DPBHLTH-BA,24.44433641
23,0,3.83,450,397,11291,0,F,Hispanic,DPSYC-BA,22.49820842
19,74,3.23,450,215,10967,1040,M,Hispanic,DCRJS-BS,24.76618552
17,0,0,360,68,11235,0,M,Hispanic,DGNBU-BBA,22.49820842
18,88,3.75,115,115,11097,1180,F,Asian,DBIOL-BS,33.55774104
0,0,0,130,130,11273,1010,F,Hispanic,DCRJS-BS,23.34947363
0,0,0,362,65,11265,1190,F,White,DPSYC-BA,52.0956071
19,76,3.929,275,120,10961,900,M,African American,DBUND,16.59289334
0,83,4.554,450,109,11102,1250,M,Hispanic,DUNDECIDED,44.17320894
17,0,0,262,262,11311,950,F,Hispanic,DPBHLTH-BA,29.7106165
0,0,0,369,369,11302,1040,F,African American,DUNDECIDED,26.20209262
14,0,0,81,81,11202,0,M,African American,DBIOL-BA,23.34947363
29,0,3.714,450,155,11265,1360,F,White,DPBHLTH-BA,38.16568617
22,0,0,190,190,11038,0,F,White,DCRJS-BS,19.05071384
25,0,0,89,89,11175,1220,M,Hispanic,DMATH-BA,10.94098691
20,0,2.44,309,221,11190,990,F,African American,DPSYC-BA,18.72099996
0,0,0,102,102,11156,860,F,African American,DINDE-BS,22.53429534
24,0,0,117,117,10980,0,F,African American,DBIOL-BS,238.606862
18,75,3.54,450,129,11057,1020,F,African American,DPBHLTH-BA,26.20209262
22,89,3.28,95,95,11169,0,F,Hispanic,DPBHLTH-BS,19.05071384
29,76,4.1,450,50,11290,0,F,White,DPSYC-BA,41.984316
19,36,3.564,288,169,10962,1040,F,Hispanic,DINDE-BS,258.0840094
20,68,3.29,450,149,11087,1030,F,Hispanic,DPBHLTH-BA,29.46979202
0,0,0,1,1,10763,0,M,Hispanic,DPBHLTH-BA,726.9922791
0,0,0,1,1,11250,0,F,African American,DUNDECIDED,321.3711727
17,83,3.46,450,172,11226,1050,F,Hispanic,DBUND,10.94098691
22,89,3.78,450,72,11089,1100,F,Hispanic,DGNBU-BBA,23.61407614
22,87,3.58,115,115,11017,0,M,Hispanic,DPBHLTH-BA,754.1394822
0,0,0,8,8,11011,1440,M,Hispanic,DMATH-BA,332.3032213
0,0,0,80,80,11057,990,F,Hispanic,DBIOL-BS,38.36008648
27,93,4,450,96,11564,1260,F,Asian,DUNDECIDED,24.76618552
26,88,3.73,450,81,11395,1270,F,Asian,DUNDECIDED,61.13255796
0,0,0,360,360,11255,860,F,African American,DBIOL-BS,44.17320894
0,0,0,218,218,11142,760,F,Hispanic,DBUND,269.3973389
0,0,0,148,148,11179,1340,F,Asian,DBIOL-BS,37.64995058
15,70,3.539,206,206,11099,800,F,White,DCRJS-BS,22.95013916
17,0,0,59,59,11003,0,M,Hispanic,DUNDECIDED,29.46979202
20,36,3.25,289,204,11009,960,M,Hispanic,DHSML-BS,10.9007224
18,78,3.21,275,141,11013,1120,M,Hispanic,DCOMM-BA,15.9239836
17,0,0,268,268,11219,0,F,Hispanic,DPSYC-BA,21.19063763
18,80,3.04,450,186,11259,960,M,African American,DGNBU-BBA,11.11464643
17,0,0,136,136,11016,0,F,African American,DGNBU-BBA,19.48887532
17,60,3.34,450,107,11165,1070,F,Hispanic,DBUND,10.95784155
0,0,0,78,78,11074,1350,F,White,DBIOL-BA,35.38596594
0,95,3.74,120,120,11195,1100,F,African American,DBIOL-BS,8.948177454
16,91,3.541,450,134,10993,850,F,African American,DCOMM-BA,5.491657246
16,36,3.25,396,57,10976,1060,M,African American,DINDE-BS,30.45234411
22,59,3.45,134,134,11051,1100,M,Hispanic,DPSYC-BA,19.48887532
0,0,0,23,23,11160,1490,F,White,DPSYC-BA,374.3311326
0,0,0,113,113,11172,1340,M,White,DUNDECIDED,391.8241795
20,0,0,107,107,10848,1170,M,African American,DLSCM-BS,341.2074921
0,0,0,15,15,11277,1080,F,Hispanic,DCOMM-BA,386.0629411
20,0,0,152,152,11263,0,M,Hispanic,DCSIT-BA,13.94873732
15,43,3.296,450,82,11277,930,F,Hispanic,DCRJS-BS,12.61565729
0,32,3.36,60,60,11105,0,F,African American,DPSYC-BA,36.62866032
0,0,0,121,121,11036,890,F,Hispanic,DBUND,22.53429534
